(S1) Range Link ,(S2) Range Link ,Name,Jenis Dokumen,Kategori Kemahasiswaan,Link Dokumen,Placeholder,Link Page,Pengampu
deprecated and renewed by row 4,,Peraturan Rektor No.16/2021 Dana Pendidikan ITS,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/2021-P-Rektor-No-16-ttg-Biaya-Pendidikan-ITS.pdf?web=1,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,
deprecated and renewed by row 4,,Peraturan Rektor Nomor 17 Tentang Perubahan Perek Dana Pendidikan,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Peraturan-Rektor-Nomor-17-Tahun-2023-ttg-Perubahan-Atas-Peraturan-Rektor-Nomor-5-Tahun-2023-Tentang-UKT.pdf?web=1,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=2:2,-,Peraturan Rektor No. 5/2023 Dana Pendidikan ITS,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Peraturan-Rektor-Nomor-5-Tahun-2023-Dana-Pendidikan-ITS.pdf&parent=/sites/IF/SiteAssets/SitePages/IF-InfoUKT,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,Ahmad Ferdiansyah Ramadhani
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A3,-,Edaran Keringanan UKT Genap 23/24,Surat Edaran,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Pengumuman-Perihal-Permohonan-Keringanan-UKT-Semester-Genap-2023-2024.pdf?web=1,Akademik S1/Layanan UKT/Informasi Banding UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A4,-,SKEM-ITS 24 Agustus 2024,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?FolderCTID=0x01200059F562C304F3274F809115DE323D242D&id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM1%2FSKEM%2DITS%5F24%2DAgustus%2D2021%2D%2D%2Dstudi%2Dindependen%2D%5Fok%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM1,Kemahasiswaan S1/Informasi SKEM,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoSKEM.aspx,Daniel Hermawan
duplicate row 15,,Pemberitahuan Calon Wisudawan ke-129,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoYudisium/2024-01-09_3177-Pemberitahuan-untuk-calon-Wisudawan-ITS-Ke-129.pdf?web=1,Akademik S1/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A15,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=7:7,Jadwal Wisuda ITS ke-129,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoYudisium/Wisuda-ITS-ke-129-Periode-April-2024.pdf?web=1,Akademik S1 + S2/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,Revanza Kurniawan
duplicated row 8,-,Pemberitahuan Peminjaman Toga Wisuda ke-129,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoYudisium%2FLampiran%2DPemberitahuan%2DPeminjaman%2DToga%2DWisuda%2Dke%2D129%2DITS%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoYudisium,Akademik S1 + S2/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A5,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=8:8,Pemberitahuan Unggah Artikel POMITS untuk Wisuda 129 S1,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2Duntuk%2DWisuda%2D129%2D%2DS1%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2DPeriode%2DWisuda%2D129%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2Duntuk%2DWisuda%2D129%2D%2DS1,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Pemberitahuan-Unggah-Artikel-POMITS-untuk-Wisuda-129--S1.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A6,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=9:9,Pusat Layanan Terpadu Biro Umum dan Reformasi Birokrasi,Brosur,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FSurat%2DKete%2FPusat%2DLayanan%2DTerpadu%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FSurat%2DKete,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Surat-Kete.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A7,-,International Internship Program 2024 CoE/CCU at National Cung Cheng University OI S1,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124%2D%2D1%2D%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/2024-CoE_CCU-International-Internship-Program-2nd-call_20240124.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A8,-,Jadwal Mengulang Kuliah Semester Genap 2023/2024,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SitePages/Kelas-Mengulang-kelas-mengulang-atau-bukan-jatah-untuk-mata-kuliah-Bersama.aspx,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Kelas-Mengulang-kelas-mengulang-atau-bukan-jatah-untuk-mata-kuliah-Bersama.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A9,-,Beasiswa Prioritas LPDP - Campus France 2024 S1,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FBeasiswa%2DPrioritas%2DLPDP%2D%2D%2DCampus%2DFrance%2D2024%2FBeasiswa%2DPrioritas%2DMaster%2DLPDP%2Dx%2DCF%2D2024%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FBeasiswa%2DPrioritas%2DLPDP%2D%2D%2DCampus%2DFrance%2D2024,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Beasiswa-Prioritas-LPDP---Campus-France-2024.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A16,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=10:10,Pemberitahuan untuk calon Wisudawan ITS Ke-129 IF,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoYudisium/2024-01-09_3177-Pemberitahuan-untuk-calon-Wisudawan-ITS-Ke-129.pdf?web=1,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Pemberitahuan-untuk-calon-Wisudawan-ITS-Ke-129--IF.aspx,Revanza Kurniawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A10,-,PENGUMUMAN PERIHAL PERMOHONAN KERINGANAN UKT/SPP SEMESTER GENAP 2023/2024 S1,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPENGUMUMAN%2DPERIHAL%2DPERMOHONAN%2DKERINGANAN%2DUKT%2DSPP%2DSEMESTER%2DGENAP%2D2023%2D2024%2FPengumuman%2DPerihal%2DPermohonan%2DKeringanan%2DUKT%2DSemester%2DGenap%2D2023%2D2024%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPENGUMUMAN%2DPERIHAL%2DPERMOHONAN%2DKERINGANAN%2DUKT%2DSPP%2DSEMESTER%2DGENAP%2D2023%2D2024,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/PENGUMUMAN-PERIHAL-PERMOHONAN-KERINGANAN-UKT-SPP-SEMESTER-GENAP-2023-2024.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A11,-,International Exposure,Sosialisasi,S1,https://itsacid-my.sharepoint.com/personal/ary_shiddiqi_its_ac_id/_layouts/15/onedrive.aspx?ga=1&id=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange%2Finternational%20exposure%20IF%20ITS%2Epdf&parent=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange,Kemahasiswaan S1/International Exposure,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InternationalExposure.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A12,-,"Virtual Exchange Program Fall Semester, 2020",Panduan,S1,https://itsacid-my.sharepoint.com/personal/ary_shiddiqi_its_ac_id/_layouts/15/onedrive.aspx?ga=1&id=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange%2FCourse%20Description%20for%20Virtual%20Exchange%20at%20AU%20%28Fall%20semester%20%202020%29%2Epdf&parent=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange,Kemahasiswaan S1/International Exposure,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InternationalExposure.aspx,Daniel Hermawan
deprecated and renewed by row 2,,Peraturan Rektor No 16 Tahun 2021 Tentang Biaya Pendidikan ITS UKT,Peraturan Rektor,S1,https://itsacid-my.sharepoint.com/personal/ary_shiddiqi_its_ac_id/_layouts/15/onedrive.aspx?ga=1&id=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange%2F3%5F16%5FPeraturan%5FRektor%5FNomor%5F16%5FTahun%5F2021%5Fttg%5FBiaya%5FPendidikan%5FITS%5FUKT%2Epdf&parent=%2Fpersonal%2Fary%5Fshiddiqi%5Fits%5Fac%5Fid%2FDocuments%2FITS%2FMANAGEMENT%2FPERKULIAHAN%2FRESOURCE%20AKADEMIK%20DAN%20KEMAHASISWAAN%2FSARJANA%2FStudent%20Xchange,]Kemahasiswaan S1/International Exposure,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InternationalExposure.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A13,-,Pemberitahuan Persyaratan Eksposur Internasional,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2Dinternasionalisasi%2FPemberitahuan%2DInformasi%2DPersyaratan%2DEksposur%2DInternasional%2D%2D%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2Dinternasionalisasi,Kemahasiswaan S1/International Exposure,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InternationalExposure.aspx,Daniel Hermawan
duplicated row 12,-,NATIONAL CHUNG CHENG UNIVERSITY 2024 CCU/CoE INTERNATIONAL INTERNSHIP PROGRAM,Panduan,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124%2D%2D1%2D%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2F2024%2DCoE%5FCCU%2DInternational%2DInternship%2DProgram%2D2nd%2Dcall%5F20240124,Kemahasiswaan S1/Lowongan dan Beasiswa,https://itsacid.sharepoint.com/sites/IF/SitePages/2024-CoE_CCU-International-Internship-Program-2nd-call_20240124.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A17,-,Biasiswa LPDP Campus France Program Master,Panduan,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FBeasiswa%2DPrioritas%2DLPDP%2D%2D%2DCampus%2DFrance%2D2024%2FBeasiswa%2DPrioritas%2DMaster%2DLPDP%2Dx%2DCF%2D2024%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FBeasiswa%2DPrioritas%2DLPDP%2D%2D%2DCampus%2DFrance%2D2024,Kemahasiswaan S1/Lowongan dan Beasiswa,https://itsacid.sharepoint.com/sites/IF/SitePages/Beasiswa-Prioritas-LPDP---Campus-France-2024.aspx,Revanza Kurniawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=14:14,-,Materi Sosialisasi MSIB batch 6,Sosialisasi,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM%281%29%2FSosialisasi%2DMSIB%2D6%2D%2DFakultas%2D%2D%2Epptx%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM%281%29,Akademik S1/Lowongan dan Beasiswa/MBKM di dept.informatika,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-MBKM&KP.aspx,Ahmad Ferdiansyah Ramadhani
