Question,Expected Answer
Siapa yang wajib melakukan unggah artikel POmITS?,Mahasiswa pendaftar yudisium.
ormat file apa yang digunakan untuk unggah artikel hasil Tugas Akhir?,Artikel harus dalam format Ms. Word.
Apakah format lain selain Ms. Word diterima untuk unggah artikel Tugas Akhir?,"Tidak, artikel selain format Ms. Word akan ditolak."
Apa saja file yang harus diunggah selain artikel Tugas Akhir?,"Formulir Hak Cipta, Form Telaah Artikel POmITS, dan Form Revisi/Perbaikan/Penyempurnaan TA."
"Ke mana mahasiswa dapat mengunduh Template, Formulir Hak Cipta, Buku Panduan Tata Cara Unggah, dan Form Telaah Artikel?",Di link yang tersedia di situs ejurnal ITS: https://ejurnal.its.ac.id/index.php/teknik dan https://ejurnal.its.ac.id/index.php/sains_seni.
Apa yang harus dilakukan mahasiswa yang dosen pembimbingnya memilih untuk tidak mempublikasikan artikel di Jurnal POmITS?,Mereka dapat melakukan unggah di Repository ITS menggunakan login 'mahasiswa' dan kata sandi 'M4h4sisw4ITS!'.
Format apa yang diperlukan untuk Formulir Hak Cipta dan Form Telaah Artikel POmITS?,Kedua form harus dalam format PDF.
Bagaimana mahasiswa dapat memeriksa file yang telah terunggah?,Melalui situs https://lpmp2ki.its.ac.id/pomits.
Apa yang harus dilakukan jika ingin menghapus atau menarik artikel yang telah diunggah?,"Isi form di link: https://its.id/FHAJTeknikITS untuk Jurnal Teknik, https://its.id/FHAJSainsSeniITS untuk Jurnal Sains & Seni, atau https://its.id/FHAJRepositoryITS untuk Repository."
Apa yang terjadi dengan artikel yang tidak memenuhi ketentuan publikasi?,Artikel tersebut tidak akan dipublikasikan di Jurnal Teknik ITS dan Jurnal Sains & Seni ITS.
Kapan periode unggah artikel untuk yudisium 29 berakhir? ,Pada 15 Februari 2024 pukul 24.00 WIB.
Berapa ukuran maksimal untuk setiap file yang diunggah di Jurnal POmITS?,Ukuran masing-masing file tidak boleh lebih dari 2 MB.
Apa saja section yang bisa dipilih pada Jurnal Teknik ITS? ,"Teknologi Informasi dan Komunikasi (TIK), Energi (ERG), Pemukiman dan Bencana (PdB), Bangunan Berorientasi Lingkungan (BBL), Transportasi (TRP), Teknologi Proses (TP), dan Kelautan (KLT)."
Apa saja section yang bisa dipilih pada Jurnal Sains & Seni ITS?,"Matematika dan Terapannya (MAT), Fisika dan Terapannya (FIS), Kimia dan Terapannya (KIM), Statistika dan Terapannya (STA), Biologi dan Terapannya (BIO), Produk Desain (PD), Arsitektur (ARS), Desain dan Seni (DDS), dan Bisnis dan Studi Pembangunan (BSP)."
Bagaimana mengakses Buku Panduan Tata Cara Unggah?,Panduan dapat diunduh di link yang tersedia di situs ejurnal ITS.
Apa kode login dan kata sandi untuk menggunakan Repository ITS?,Login menggunakan 'mahasiswa' dan kata sandi 'M4h4sisw4ITS!'.
Dapatkah artikel yang tidak dalam format Ms. Word diunggah di Jurnal POmITS?,"Tidak, artikel harus dalam format Ms. Word sesuai template."
Apakah persyaratan dokumen untuk unggah artikel di repository berbeda dengan Jurnal POmITS? ,"Tidak, hanya file artikel dan file Form Telaah saja yang diunggah di Repository."
Apa yang perlu dilakukan jika artikel terhapus setelah yudisium berakhir? ,Mengisi form penghapusan artikel di link yang telah disebutkan sebelumnya.
 Bagaimana menemukan list data artikel yang terhapus?,List data artikel terhapus dapat dilihat pada website jurnal yang diupdate tiap 3 hari.